2 6
68.602 102.492 1
454.666 264.809 4
101.284 169.286 1
372.615 263.141 4
300.989 46.555 6
100.905 205.777 1
110.171 55.648 1
118.856 47.446 1
355.247 76.431 6
276.086 182.048 3
143.376 117.738 3
204.207 133.41 1
78.26 139.327 1
158.722 211.53 3
68.434 59.125 1
407.505 160.498 5
416.435 150.446 5
507.549 190.889 2
149.841 204.709 3
498.759 181.948 2
274.615 232.734 3
84.023 90.084 1
362.241 242.055 4
505.821 159.21 2
420.804 134.83 5
504.035 314.125 4
356.67 199.094 5
326.546 91.767 6
214.477 63.822 1
351.351 86.885 6
216.041 242.025 3
441.7 277.333 4
68.678 203.095 1
547.051 99.218 2
405.983 141.934 5
402.24 247.876 4
197.134 260.622 3
163.141 66.302 1
561.951 172.967 2
340.037 115.315 6
63.076 78.06 1
261.073 268.122 3
319.376 65.832 6
494.333 148.839 2
537.507 279.667 2
430.949 114.013 5
393.601 118.589 5
320.43 57.284 6
77.562 152.847 1
361.268 272.518 4
417.066 120.684 5
79.098 128.405 1
76.775 83.792 1
136.696 213.328 3
423.142 161.446 5
88.132 84.512 1
201.808 97.972 1
200.869 200.106 1
351.79 207.099 5
127.745 218.07 3
561.827 150.697 2
144.491 171.658 3
571.212 245.482 2
559.039 230.926 2
289.504 114.581 3
209.493 54.874 1
431.458 269.97 4
429.272 284.455 4
45.703 139.165 1
279.835 156 3
321.254 75.782 6
199.571 159.617 1
179.006 238.615 3
57.527 198.426 1
359.073 279.494 4
289.561 274.976 3
366.043 43.704 6
493.071 137.215 2
74.259 114.187 1
63.906 186.028 1
272.247 148.52 3
450.42 276.351 4
118.652 47.566 1
153.822 156.34 3
206.664 148.38 1
398.006 120.303 5
246.254 234.438 3
92.31 114.418 1
529.077 73.43 2
129.91 133.877 3
382.895 44.821 6
506.033 181.779 2
62.486 89.727 1
296.484 74.566 6
551.644 152.569 2
209.497 231.394 3
239.556 241.076 3
540.181 57.262 2
172.683 272.181 3
290.518 190.051 3
316.925 50.753 6
97.492 58.953 1
156.372 260.434 3
345.459 153.76 6
264.006 112.605 3
224.138 75.089 1
228.168 167.13 1
512.265 44.148 2
145.08 237.365 3
253.703 237.499 3
201.905 53.102 1
556.011 101.082 2
452.518 269.385 4
371.035 258.471 4
457.581 127.716 2
499.487 145.822 2
74.157 158.457 1
328.513 242.402 4
216.21 85.133 1
509.732 149.987 2
199.267 265.594 3
211.369 70.835 1
344.519 43.955 6
517.1 272.819 4
80.835 114.596 1
506.614 164.535 2
373.147 183.348 5
340.328 148.423 6
414.768 120.627 5
404.617 188.163 5
628.765 182.19 2
388.846 201.077 5
239.493 76.288 1
374.456 277.561 4
406.262 62.544 6
204.399 238.399 3
287.777 109.091 3
373.372 200.987 5
85.686 111.492 1
537.797 200.25 2
379.643 203.58 5
337.071 264.25 4
142.105 174.247 3
607.012 95.57 2
363.567 117.723 6
403.928 48.665 6
357.195 148.77 6
291.483 275.625 3
422.09 46.941 6
271.251 248.489 3
553.254 215.65 2
431.526 264.532 4
542.892 216.174 2
142.255 48.327 1
189.364 192.71 1
